Electoral_division_of_Apsley	0.3-0.4
Big_Blue_River_(Indiana)	0.3-0.4
Markus_Prock	0.3-0.4
Noel_Purcell_(water_polo)	0.3-0.4
Alabama_State_Route_13	0.3-0.4
Christine_(name)	0.3-0.4
D-block_contraction	0.3-0.4
Kenneth_Willis_Clark_Collection	0.3-0.4
2009_European_Pairs_Speedway_Championship	0.3-0.4
Iowa's_10th_congressional_district	0.3-0.4
Derrick_Schofield	0.3-0.4
Southwest_Tennessee_Development_District	0.3-0.4
Marcel_Hirscher	0.3-0.4
Harvard_Crimson_men's_lacrosse	0.3-0.4
Inspectorates-General_(Turkey)	0.3-0.4
Charles_Fitzgerald_(rugby)	0.3-0.4
Energy_in_Sudan	0.3-0.4
Jeffris_Hopkins	0.3-0.4
2009_Team_Speedway_Junior_European_Championship	0.3-0.4
Bradley_Dale_Peveto	0.3-0.4
Goldie_Hexagon_Racing	0.3-0.4
Harry_Taylor_(rugby_league)	0.3-0.4
South_East_Lancashire_(UK_Parliament_constituency)	0.3-0.4
Thomas_Land_(Drayton_Manor)	0.3-0.4
Zielona_Góra_(parliamentary_constituency)	0.3-0.4
Derek_Morgan_(cricketer)	0.3-0.4
Hugh_Waddell_(rugby_union)	0.3-0.4
Arthur_Keegan	0.3-0.4
Major_League_Baseball_on_TSN	0.3-0.4
East_Mississippi_State_Hospital	0.3-0.4
Leighton_Hodges	0.3-0.4
Davit_Kubriashvili	0.3-0.4
Laurie_Johnson_(cricketer)	0.3-0.4
Greater_London_Council_election,_1970	0.3-0.4
1996_Big_12_Championship_Game	0.3-0.4
Calumet_Region	0.3-0.4
Darren_Shadford	0.3-0.4
Electoral_district_of_Mount_Hawthorn	0.3-0.4
Electoral_district_of_Wembley_Beaches	0.3-0.4
Larry_Worrell	0.3-0.4
Interstate_691	0.4-0.5
Antonio_Rossi	0.4-0.5
South_Carolina_Highway_200	0.4-0.5
Arnold_Townsend	0.4-0.5
Cecelia_Joyce	0.4-0.5
Victor_Croome	0.4-0.5
Gmina_Przedecz	0.4-0.5
Katrine_Lunde_Haraldsen	0.4-0.5
Jutta_Nardenbach	0.4-0.5
Frank_Mortimer	0.4-0.5
Ron_Ryder	0.4-0.5
Mary_O'Connor_(sportsperson)	0.4-0.5
Trade_Lines_(newspaper)	0.4-0.5
Peter_Scott_(cricketer)	0.4-0.5
Chris_Rushworth	0.4-0.5
Mississippi_Delta_National_Heritage_Area	0.4-0.5
Bastille_discography	0.4-0.5
Wheeling_Creek_(Ohio)	0.4-0.5
Wolf_Prize	0.4-0.5
Melville-Saltcoats	0.4-0.5
Division_of_Port_Adelaide	0.4-0.5
Turkey_River_(Iowa)	0.4-0.5
Country_blues	0.4-0.5
Abbey_Park,_Nottinghamshire	0.4-0.5
Alessandro_Gramigni	0.4-0.5
Black_Lake_Bayou	0.4-0.5
Dedi_I,_Margrave_of_the_Saxon_Ostmark	0.4-0.5
Dennis_Pilgrim	0.4-0.5
Florida_Gulf_Coast_Eagles_men's_basketball	0.4-0.5
Houston_College_Classic	0.4-0.5
Maneer_Mirza	0.4-0.5
Panhandle	0.4-0.5
Paul_New	0.4-0.5
