% 1. Title: Ranker Entities Short 
%
% 2. Sources: 
% (a) Creator: Patrice Lopez 
% (c) Date: May 2014 
%
@RELATION erd2014 
@attribute prob_c REAL
@attribute relatedness REAL
@attribute entity? {Y, N}

@data
1.0,0.7562544660549649,N
0.537948,0.7094472942836284,N
0.0108424,0.6116180315998845,N
0.00667223,0.4764689595111806,N
0.00500417,0.5763476391741778,N
1.0,0.31395343067744474,N
0.0058382,0.7905114958706084,N
0.00417014,0.8049247124219733,N
0.00250209,0.5299795910685626,N
0.00250209,0.0,N
0.00166806,0.1569607718022916,N
1.0,0.35488424527070284,N
0.00166806,0.7906634327109261,N
0.00166806,0.7874126719595006,N
8.34028E-4,0.7934486835677406,N
1.0,0.0,N
1.0,0.0,N
1.0,0.0,N
1.0,0.0,N
1.0,0.0,N
1.0,0.0,N
1.0,0.0,N
0.657944,0.3672585831389654,Y
0.227103,0.0,N
0.0317757,0.0,N
0.00654206,0.0,N
0.00560748,0.0,N
0.00373832,0.0,N
0.0542056,0.0,N
9.34579E-4,0.30980952352919494,N
9.34579E-4,0.0,N
9.34579E-4,0.0,N
9.34579E-4,0.0,N
9.34579E-4,0.23870988676009885,N
1.0,0.0,N
1.0,0.2779338988498595,N
0.0991189,0.28476799080563125,N
1.0,0.26880420151497547,N
0.00330396,0.0,N
1.0,0.2849015839404592,N
0.295359,0.0,N
0.126582,0.18763226688940807,N
0.0843882,0.10004360083752907,N
0.0421941,0.0,N
0.0421941,0.0,N
0.0632911,0.10354925879563455,N
0.021097,0.0,N
0.0168776,0.0,N
0.0126582,0.0,N
0.00843882,0.06754110512984167,N
0.00843882,0.072592529844963,N
0.00843882,0.0,N
0.00843882,0.0,N
0.00843882,0.07469791852589854,N
0.00421941,0.20440017338791597,N
0.564171,0.0,N
0.0810811,0.0,N
0.0630631,0.0,N
0.045045,0.0,N
0.045045,0.0,N
0.036036,0.0,N
0.036036,0.2012171928927501,N
0.045045,0.07896456159561102,N
0.027027,0.0,N
0.027027,0.0,N
0.027027,0.0,N
0.027027,0.0,N
0.018018,0.0,N
0.018018,0.0,N
0.018018,0.19484185159628561,N
0.018018,0.0,N
0.774135,0.0,N
0.0626272,0.0,N
0.0513226,0.0,N
0.0280353,0.0,N
0.0205743,0.09020273684812587,N
0.0133394,0.0,N
0.0214786,0.0,N
0.00565227,0.0,N
0.00180873,0.0,N
0.00158264,0.0,N
0.00158264,0.0,N
9.04364E-4,0.0,N
6.78273E-4,0.0,N
0.0144698,0.0,N
4.52182E-4,0.06335626404943816,N
1.0,0.0,N
0.987456,0.45967120933002104,Y
0.00651335,0.0,N
0.00353812,0.2724662905688055,N
0.00104535,0.0,N
2.14431E-4,0.0,N
1.60823E-4,0.0,N
1.60823E-4,0.28405248757577334,N
1.07216E-4,0.0,N
1.3402E-4,0.2752495862927024,N
0.528131,0.3974742765961033,N
1.0,0.0,N
0.514487,0.7507608649287878,N
1.0,0.0,Y
0.206661,0.19935367327849185,N
0.0182768,0.17841243899637235,Y
0.446086,0.0,N
0.0443131,0.0,N
0.152142,0.0,N
0.110783,0.0,N
0.014771,0.0,N
0.0103397,0.2257934044586002,N
0.0118168,0.0,N
0.00886263,0.0,N
0.00738552,0.1311238843706276,N
0.00590842,0.2257934044586002,N
0.00590842,0.0,N
0.00443131,0.0,N
0.00443131,0.0,N
0.00443131,0.0,N
0.00443131,0.0,N
0.87299,0.4278598797147797,N
1.0,0.4278598797147797,Y
1.0,0.0,Y
0.263983,0.0,N
0.800768,0.24994473258993843,N
1.0,0.5245115911476845,Y
6.84814E-4,0.22513310183742233,N
1.71204E-4,0.2138712686209856,N
1.71204E-4,0.29937848931026223,N
0.217114,0.7322898032386627,N
0.107589,0.0,N
1.0,0.0,Y
0.947676,0.6986361030677841,N
1.0,0.0,Y
0.471292,0.37170484750548727,N
1.0,0.37170484750548727,Y
0.00209688,0.32157392752167585,N
8.3875E-4,0.5931297194749129,N
0.00545188,0.37075345748823274,N
0.910871,0.3913083884813887,Y
0.0447642,0.0,N
0.0275779,0.0,N
0.0079936,0.1546176377943618,N
0.00439648,0.3913083884813887,N
0.00439648,0.0,N
0.141162,0.45154508319033987,N
0.0304146,0.1297963260282008,N
0.0564648,0.2955146563754664,N
0.0283688,0.04908680791181838,N
0.0212766,0.31236142443064846,N
0.0160938,0.2204431162210455,N
0.0211402,0.0,N
0.0125477,0.0,N
0.0156847,0.0,N
0.0170486,0.0,N
0.01473,0.059596280385267875,N
0.00531915,0.05912230935804384,N
0.00804692,0.0,N
0.00791053,0.0,N
0.00340971,0.08298336026478434,N
0.373726,0.0470131702083072,N
0.378256,0.04927784700256365,N
0.0373726,0.1885252940607604,N
0.0566251,0.2006677472040124,N
0.00339751,0.0,N
0.0792752,0.0,N
0.00226501,0.18491575018899054,N
0.0011325,0.04575936793899422,N
0.0011325,0.04430332296365533,N
0.0011325,0.051602899998718914,N
0.0011325,0.1522458791643089,N
0.0011325,0.0,N
0.0011325,0.0,N
0.0011325,0.0,N
0.0011325,0.0,N
0.923963,0.0,N
0.0230415,0.0,N
0.00691244,0.0,N
0.00460829,0.0,N
0.00460829,0.0,N
0.00921659,0.0,N
0.00460829,0.0,N
0.00230415,0.0,N
0.00230415,0.16965603856544342,N
0.00230415,0.0,N
0.00230415,0.05637628594433605,N
0.00230415,0.0,N
0.00230415,0.062285062051551654,N
0.00230415,0.2447857974640053,N
0.00230415,0.22242214738177407,N
0.285714,0.19202880811185416,N
0.571429,0.2006677472040124,N
0.142857,0.2810870459977742,N
0.88488,0.21356357314160787,N
0.946223,0.0,Y
0.777363,0.4922396480565402,N
0.0181064,0.45238939889009694,N
0.00590853,0.35092839124047126,N
0.00556181,0.47808734828652105,N
0.00763647,0.27775780233061864,N
0.00402144,0.38729492885033673,N
0.00316031,0.44370017193420347,N
0.00227076,0.2807671933472697,N
0.00180467,0.4601107395155925,N
0.00176204,0.5024278154051015,N
0.00206614,0.16394961927214569,N
0.00128175,0.4755111470579817,N
0.0022395,0.3712410793462189,N
0.00148921,0.44795905174125566,N
0.0010146,0.3239578136879179,N
0.88488,0.43336333344463834,N
0.946223,0.0,Y
0.191163,0.0,N
0.280698,0.0,N
0.0672093,0.0,N
0.0381395,0.27607819293434016,N
0.0381395,0.0,N
0.00744186,0.0,N
0.0565116,0.0,N
0.00697674,0.0,N
0.00604651,0.0,N
0.00790698,0.0,N
0.00604651,0.0,N
0.00325581,0.0,N
0.00395349,0.0,N
0.00232558,0.0,N
0.025814,0.16162073920193762,N
0.972041,0.0,Y
1.0,0.0,Y
0.178121,0.0,N
0.218159,0.0,N
0.0564313,0.038410801412416956,N
0.0797604,0.0,N
0.0952081,0.0,N
0.0091425,0.058151790531904154,N
0.0384615,0.0,N
0.00725095,0.0,N
0.0211223,0.0,N
0.0211223,0.0,N
0.00252207,0.0,N
0.00220681,0.0,N
0.0772383,0.0,N
0.00189155,0.0,N
0.00157629,0.0,N
0.981567,0.21246686302165524,N
0.394595,0.0,N
0.0378378,0.0,N
0.0198198,0.1368263764534811,N
0.0162162,0.0,N
0.0144144,0.0,N
0.0126126,0.0,N
0.00720721,0.0,N
0.00720721,0.038495891788894204,N
0.00540541,0.0,N
0.00540541,0.2507828836535037,N
0.00720721,0.16155761380456982,N
0.0036036,0.06809843514323125,N
0.0036036,0.2730209346488227,N
0.0036036,0.0,N
0.0036036,0.22699614964220613,N
0.943455,0.75963746240686,N
1.0,0.75963746240686,N
0.0141822,0.0,N
0.00796533,0.0,N
0.00418441,0.11874577245456723,N
0.00388553,0.0,N
0.00348203,0.11249786427627277,N
0.00342225,0.24717512877949296,N
0.00333259,0.0,N
0.00292909,0.0,N
0.00194276,0.0,N
0.00183815,0.0,N
0.00179332,0.0,N
0.00179332,0.0,N
0.00219682,0.0,N
0.0015841,0.12842935632492572,N
0.00153927,0.11122413601480798,N
1.0,0.11122413601480798,N
1.0,0.11299592502274468,N
0.103568,0.0,N
0.0234352,0.0,N
0.0136971,0.790184987576656,N
0.00633935,0.0,N
0.0100182,0.6360133801780415,N
0.017796,0.8478954687578062,N
0.00742136,0.8376711070679193,N
0.00913986,0.0,N
0.00856703,0.0,N
0.00785417,0.8288899666765113,N
0.00826152,0.830159241898194,N
0.0314931,0.0,N
0.00716677,0.8376711070679193,N
0.00334789,0.0,N
0.00567741,0.8497843044982163,N
1.0,0.0,Y
0.305286,0.0,N
0.235524,0.0,N
0.0841849,0.7916141443404385,N
0.0874648,0.0,N
0.0181237,0.7701216053987688,N
0.0170725,0.0,N
0.0102603,0.0,N
0.0216559,0.6224724679935707,N
0.00655986,0.44801395947812667,N
0.005845,0.0,N
0.00752702,0.0,N
0.00605525,0.0,N
0.00420504,0.0,N
0.00319583,0.0,N
0.0146756,0.0,N
1.0,0.0,N
0.305286,0.0,N
0.235524,0.41100300871803624,N
0.0841849,0.1583228288680877,N
0.0874648,0.0,N
0.0181237,0.15402432107975378,N
0.0170725,0.0,N
0.0102603,0.0,N
0.0216559,0.12449449359871415,N
0.00655986,0.08960279189562534,N
0.005845,0.0,N
0.00752702,0.277968401713462,N
0.00605525,0.12230179455224995,N
0.00420504,0.0,N
0.00319583,0.0,N
0.0146756,0.0,N
0.562176,0.45448196713370714,N
0.0533679,0.0,N
0.00880829,0.0,N
0.00621762,0.3269489340476067,N
0.00569948,0.0,N
0.00569948,0.506832627809801,N
0.00569948,0.2489733902728355,N
0.00569948,0.4542809424633204,N
0.00466321,0.31929882780032837,N
0.00466321,0.0,N
0.00414508,0.0,N
0.00414508,0.0,N
0.00414508,0.31559391723582864,N
0.00414508,0.0,N
0.00362694,0.0,N
1.0,0.0,N
0.803389,0.35143051100183675,Y
0.0176309,0.2304196262066401,N
0.0126644,0.11511946253702714,N
0.0130642,0.1037199250028083,N
0.0041488,0.12636702042686634,N
0.00434261,0.03522116712057831,N
0.00498462,0.04062761218068318,N
0.00380357,0.1291220661003272,N
0.002459,0.07558860115947616,N
0.00736488,0.06354325282361538,N
0.00190784,0.0,N
0.00224701,0.07689329202655332,N
0.00124767,0.03223725910105879,N
0.00222884,0.11673599508862029,N
0.00193813,0.08230184318230037,N
0.415577,0.285363847073668,N
0.0108508,0.03964633979200089,N
0.0218031,0.07512177594277668,N
0.00912686,0.0,N
0.00831559,0.03919486272461303,N
0.00801136,0.19692395488414546,N
0.00780854,0.07492173056763432,N
0.0263665,0.044597649671206954,N
0.00699726,0.051907087751832504,N
0.00699726,0.058768499195181075,N
0.0154143,0.0,N
0.00598317,0.15798717360101355,N
0.0052733,0.11067558694701359,N
0.00517189,0.0,N
0.00507048,0.24102334733842554,N
0.707741,0.13147518022650556,N
0.193371,0.142942991559571,N
0.0222442,0.0,N
0.00814888,0.11701344842295411,N
0.00836912,0.12255461064498897,N
0.00462504,0.10553517504208863,N
0.00352384,0.21976823191597333,N
0.00297324,0.18221572082030618,N
0.00264288,0.11996492063654826,N
0.00198216,0.0,N
0.00198216,0.165485161174046,N
